缺失股票数: 312
920433.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920436.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920445.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920454.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920475.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920489.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920508.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920509.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920510.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920523.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920553.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920566.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920599.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920640.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920642.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920670.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920675.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
920682.BJ {'total_rows': 1023, 'range': ['20220104', '20260327'], 'miss_turnover': 0, 'miss_buy_lg': 1022, 'miss_net_mf': 1022, 'miss_net_rate': 1022, 'miss_adj': 0}
